Notes offered by Prospectus (https://www.lendingclub.com/info/prospectus.action)
"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","is_inc_v","accept_d","exp_d","list_d","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","addr_city","addr_state","acc_now_delinq","acc_open_past_24mths","bc_open_to_buy","percent_bc_gt_75","bc_util","dti","delinq_2yrs","delinq_amnt","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","mths_since_recent_inq","mths_since_recent_revol_delinq","mths_since_recent_bc","mort_acc","open_acc","pub_rec","total_bal_ex_mort","revol_bal","revol_util","total_bc_limit","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","total_il_high_credit_limit","num_rev_accts","mths_since_recent_bc_dlq","pub_rec_bankruptcies","num_accts_ever_120_pd","chargeoff_within_12_mths","collections_12_mths_ex_med","tax_liens","mths_since_last_major_derog","num_sats","num_tl_op_past_12m","mo_sin_rcnt_tl","tot_hi_cred_lim","tot_cur_bal","avg_cur_bal","num_bc_tl","num_actv_bc_tl","num_bc_sats","pct_tl_nvr_dlq","num_tl_90g_dpd_24m","num_tl_30dpd","num_tl_120dpd_2m","num_il_tl","mo_sin_old_il_acct","num_actv_rev_tl","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","total_rev_hi_lim","num_rev_tl_bal_gt_0","num_op_rev_tl","tot_coll_amt","policy_code"
"1077501","1296599","5000","5000","4975"," 36 months"," 10.65%","162.87","B","B2","","10+ years","RENT","24000","Verified","2011-12-22","2012-01-05","2011-12-22","2011-12-29","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1077501","  Borrower added on 12/22/11 > I need to upgrade my business technologies.<br>","credit_card","Computer","FLAGSTAFF","AZ","0","","","","","27.65","0","0","1985-01-29 12:12","1","","","","","","","3","0","","13648","83.7%","","9","f","646.04","642.76","5200.84","5174.89","4353.96","846.88","0.0","0.0","0.0","2014-09-11","162.87","2014-10-06","2014-08-21","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1077430","1314167","2500","2500","2500"," 60 months"," 15.27%","59.83","C","C4","Ryder","< 1 year","RENT","30000","Source Verified","2011-12-22","2012-01-05","2011-12-22","2011-12-28","Charged Off","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1077430","  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike. I only need this money because the deal im looking at is to good to pass up.<br><br>  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike.I only need this money because the deal im looking at is to good to pass up. I have finished college with an associates degree in business and its takingmeplaces<br>","car","bike","Martinez","GA","0","","","","","1","0","0","1999-04-29 09:30","5","","","","","","","3","0","","1687","9.4%","","4","f","0.00","0.00","1008.71","1008.71","456.46","435.17","0.0","117.08","1.11","2013-04-30","119.66","","2013-09-23","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1077175","1313524","2400","2400","2400"," 36 months"," 15.96%","84.33","C","C5","","10+ years","RENT","12252","Not Verified","2011-12-21","2012-01-04","2011-12-21","2011-12-29","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1077175","","small_business","real estate business","Chicago","IL","0","","","","","8.72","0","0","2001-11-13 03:03","2","","","","","","","2","0","","2956","98.5%","","10","f","0.00","0.00","3003.6536444505","3003.65","2400.00","603.65","0.0","0.0","0.0","2014-06-10","649.91","","2014-08-21","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1076863","1277178","10000","10000","10000"," 36 months"," 13.49%","339.31","C","C1","AIR RESOURCES BOARD","10+ years","RENT","49200","Source Verified","2011-12-21","2012-01-04","2011-12-21","2011-12-27","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1076863","  Borrower added on 12/21/11 > to pay for property tax (borrow from friend, need to pay back) & central A/C need to be replace. I'm very sorry to let my loan expired last time.<br>","other","personel","W COVINA","CA","0","","","","","20","0","0","1996-02-20 03:25","1","35","","","","","","10","0","","5598","21%","","37","f","1338.11","1338.11","10850.890000000001","10850.89","8661.88","2172.04","16.97","0.0","0.0","2014-09-10","339.31","2014-10-05","2014-08-21","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1075358","1311748","3000","3000","3000"," 60 months"," 12.69%","67.79","B","B5","University Medical Group","1 year","RENT","80000","Source Verified","2011-12-20","2012-01-03","2011-12-20","2011-12-28","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1075358","  Borrower added on 12/21/11 > I plan on combining three large interest bills together and freeing up some extra each month to pay toward other bills.  I've always been a good payor but have found myself needing to make adjustments to my budget due to a medical scare. My job is very stable, I love it.<br>","other","Personal","PORTLAND","OR","0","","","","","17.94","0","0","1996-01-13 11:47","0","38","","","","","","15","0","","27783","53.9%","","38","f","1642.23","1642.23","2157.53","2157.53","1357.77","799.76","0.0","0.0","0.0","2014-09-09","67.79","2014-10-04","2014-08-21","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1075269","1311441","5000","5000","5000"," 36 months","  7.90%","156.46","A","A4","Veolia Transportaton","3 years","RENT","36000","Source Verified","2011-12-20","2012-01-03","2011-12-20","2011-12-28","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1075269","","wedding","My wedding loan I promise to pay back","Tempe","AZ","0","","","","","11.2","0","0","2004-11-26 09:16","3","","","","","","","9","0","","7963","28.3%","","12","f","620.25","620.25","5000.970000000001","5000.97","4379.75","621.22","0.0","0.0","0.0","2014-09-18","156.46","2014-10-04","2014-09-16","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1069639","1304742","7000","7000","7000"," 60 months"," 15.96%","170.08","C","C5","Southern Star Photography","8 years","RENT","47004","Not Verified","2011-12-17","2011-12-31","2011-12-17","2011-12-28","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069639","  Borrower added on 12/18/11 > I am planning on using the funds to pay off two retail credit cards with 24.99% interest rates, as well as a major bank credit card with a 18.99% rate.  I pay all my bills on time, looking for a lower combined payment and lower monthly payment.<br>","debt_consolidation","Loan","CONCORD","NC","0","","","","","23.51","0","0","2005-07-21 02:41","1","","","","","","","7","0","","17726","85.6%","","11","f","3968.64","3968.64","5415.560000000006","5415.56","3031.36","2384.20","0.0","0.0","0.0","2014-09-05","170.08","2014-10-01","2014-08-21","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1072053","1288686","3000","3000","3000"," 36 months"," 18.64%","109.43","E","E1","MKC Accounting ","9 years","RENT","48000","Source Verified","2011-12-16","2011-12-30","2011-12-16","2011-12-20","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1072053","  Borrower added on 12/16/11 > Downpayment for a car.<br>","car","Car Downpayment","LOS ANGELES","CA","0","","","","","5.35","0","0","2007-01-30 05:21","2","","","","","","","4","0","","8221","87.5%","","4","f","423.17","423.17","3498.509999999998","3498.51","2576.83","921.68","0.0","0.0","0.0","2014-09-05","109.43","2014-09-30","2014-08-21","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1071795","1306957","5600","5600","5600"," 60 months"," 21.28%","152.39","F","F2","","4 years","OWN","40000","Source Verified","2011-12-16","2011-12-30","2011-12-16","2011-12-28","Charged Off","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1071795","  Borrower added on 12/21/11 > I own a small home-based judgment collection business. I have 5 years experience collecting debts. I am now going from a home office to a small office. I also plan to buy a small debt portfolio (eg. $10K for $1M of debt) <br>My score is not A+ because I own my home and have no mortgage.<br>","small_business","Expand Business & Buy Debt Portfolio","Sacramento","CA","0","","","","","5.55","0","0","2004-04-26 03:31","2","","","","","","","11","0","","5210","32.6%","","13","f","0.00","0.00","646.02","646.02","162.02","294.94","0.0","189.06","2.09","2012-04-04","152.39","","2012-08-28","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"1071570","1306721","5375","5375","5350"," 60 months"," 12.69%","121.45","B","B5","Starbucks","< 1 year","RENT","15000","Verified","2011-12-16","2011-12-30","2011-12-16","2011-12-29","Charged Off","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1071570","  Borrower added on 12/16/11 > I'm trying to build up my credit history. I live with my brother and have no car payment or credit cards. I am in community college and work full time. Im going to use the money to make some repairs around the house and get some maintenance done on my car.<br><br>  Borrower added on 12/20/11 > $1000 down only $4375 to go. Thanks to everyone that invested so far, looking forward to surprising my brother with the fixes around the house.<br>","other","Building my credit history.","KATY","TX","0","","","","","18.08","0","0","2004-09-23 01:01","0","","","","","","","2","0","","9279","36.5%","","3","f","0.00","0.00","1476.19","1469.34","673.48","533.42","0.0","269.29","2.52","2012-11-02","121.45","","2013-03-25","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
