Notes offered by Prospectus (https://www.lendingclub.com/info/prospectus.action)
"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","is_inc_v","accept_d","exp_d","list_d","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","addr_city","addr_state","acc_now_delinq","acc_open_past_24mths","bc_open_to_buy","percent_bc_gt_75","bc_util","dti","delinq_2yrs","delinq_amnt","earliest_cr_line","fico_range_low","fico_range_high","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","mths_since_recent_inq","mths_since_recent_revol_delinq","mths_since_recent_bc","mort_acc","open_acc","pub_rec","total_bal_ex_mort","revol_bal","revol_util","total_bc_limit","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","last_fico_range_high","last_fico_range_low","total_il_high_credit_limit","num_rev_accts","mths_since_recent_bc_dlq","pub_rec_bankruptcies","num_accts_ever_120_pd","chargeoff_within_12_mths","collections_12_mths_ex_med","tax_liens","mths_since_last_major_derog","num_sats","num_tl_op_past_12m","mo_sin_rcnt_tl","tot_hi_cred_lim","tot_cur_bal","avg_cur_bal","num_bc_tl","num_actv_bc_tl","num_bc_sats","pct_tl_nvr_dlq","num_tl_90g_dpd_24m","num_tl_30dpd","num_tl_120dpd_2m","num_il_tl","mo_sin_old_il_acct","num_actv_rev_tl","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","total_rev_hi_lim","num_rev_tl_bal_gt_0","num_op_rev_tl","tot_coll_amt","policy_code"
"20159237","22421876","10000","10000","10000"," 36 months"," 22.15%","382.69","E","E5","Accounting Associate","8 years","RENT","37000","Verified","2014-06-24","2014-07-08","2014-06-24","2014-06-30","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=20159237","","debt_consolidation","Debt consolidation","TORRANCE","CA","0","7","2762","80","83","28.51","0","0","2006-05-23 05:00","670","674","1","","","3","","3","0","8","0","36809","17621","73.1%","16200","11","f","9600.13","9600.13","765.38","765.38","399.87","365.51","0.0","0.0","0.0","2014-09-05","382.69","2014-09-30","2014-08-21","674","670","22000","10","","0","0","0","0","0","","8","2","3","46100","36809","4601","7","5","5","100","0","0","0","1","11","7","97","3","24100","7","7","0","1"
"20088512","22351142","1400","1400","1400"," 36 months"," 18.24%","50.79","D","D5","Supervisor","6 years","RENT","41000","Verified","2014-06-23","2014-07-07","2014-06-23","2014-06-27","Late (16-30 days)","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=20088512","","other","Other","cicero","NY","0","6","4000","0","0","26.58","3","0","2004-09-22 05:00","685","689","0","4","","9","4","80","0","9","0","19536","527","11.5%","4000","21","w","1370.49","1370.49","65.79","65.79","29.51","21.28","15.0","0.0","0.0","2014-08-22","65.79","2014-10-01","2014-09-19","584","580","23794","10","4","0","0","0","0","0","","9","5","3","28394","19536","3256","6","0","1","85.7","0","0","0","11","117","1","116","56","4600","1","3","0","1"
"20158360","22421039","18000","18000","18000"," 60 months"," 16.29%","440.51","D","D2","nurse LPN","9 years","MORTGAGE","41000","Not Verified","2014-06-23","2014-07-07","2014-06-23","2014-06-26","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=20158360","","debt_consolidation","Debt consolidation","middleville","MI","0","3","2956","33.3","61.1","20.61","0","0","2005-02-22 04:00","715","719","1","73","","0","78","18","3","17","0","32437","6623","38.1%","7600","31","w","17605.02","17605.02","881.02","881.02","394.98","486.04","0.0","0.0","0.0","2014-08-29","440.51","2014-09-26","2014-08-21","744","740","32250","21","78","0","1","0","0","0","73","17","0","14","202710","179757","12840","8","3","3","93.5","0","0","0","7","81","5","112","18","17400","5","10","0","1"
"20138199","22400842","7000","7000","7000"," 36 months"," 12.49%","234.15","B","B5","RN","3 years","RENT","68900","Not Verified","2014-06-23","2014-07-07","2014-06-23","2014-06-30","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=20138199","","debt_consolidation","Debt consolidation","Frisco","TX","0","7","2867","60","75.9","6.6","0","0","1996-07-22 05:00","685","689","0","24","","11","24","11","2","23","0","85804","11022","48.1%","11900","38","w","6675.74","6675.74","468.3","468.30","324.26","144.04","0.0","0.0","0.0","2014-09-05","234.15","2014-09-30","2014-08-21","764","760","71519","24","24","0","0","0","0","0","80","23","3","3","264435","241465","11498","10","4","5","81.6","0","0","0","12","181","5","215","3","22900","5","12","0","1"
"20127968","22390638","12000","12000","12000"," 36 months"," 12.99%","404.27","C","C1","Assistant Officer-in-Charge","10+ years","MORTGAGE","64000","Not Verified","2014-06-22","2014-07-06","2014-06-23","2014-06-25","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=20127968","","home_improvement","Home improvement","Yakima","WA","0","6","6936","75","67","24.61","0","0","1992-05-22 05:00","680","684","0","","","","","13","1","16","0","31953","22575","57.9%","21000","34","w","11448.29","11448.29","808.54","808.54","551.71","256.83","0.0","0.0","0.0","2014-08-28","404.27","2014-09-25","2014-08-21","729","725","18000","27","","0","0","0","0","0","","16","4","1","57000","31953","1997","14","7","8","100","0","0","0","6","152","13","265","1","39000","13","15","0","1"
"20077585","22340282","6900","6900","6900"," 36 months"," 11.67%","228.1","B","B4","Financial Analyst","8 years","RENT","70000","Not Verified","2014-06-21","2014-07-05","2014-06-21","2014-06-25","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=20077585","","debt_consolidation","Debt consolidation","Fullerton","CA","0","9","22711","33.3","23.8","8.52","0","0","2005-05-20 05:00","690","694","0","","","20","","5","0","12","0","15100","10772","28.1%","29800","19","f","0.00","0.00","6967.1025","6967.10","6900.00","67.10","0.0","0.0","0.0","2014-07-30","6967.1","","2014-07-22","669","665","10116","15","","0","0","0","0","0","","12","4","5","48516","15100","1373","8","3","6","100","0","0","0","4","70","5","109","5","38400","5","11","0","1"
"12586984","14599155","7250","7250","7250"," 36 months"," 16.29%","255.93","D","D2","Owner/Sales","4 years","MORTGAGE","90000","Not Verified","2014-06-20","2014-07-04","2014-06-21","2014-06-25","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=12586984","","home_improvement","Home improvement","Sauk Rapids","MN","0","3","1448","50","39.7","6.59","0","0","1997-02-10 04:00","680","684","3","71","42","1","","44","0","10","3","25914","952","25.1%","2400","32","w","6932.84","6932.84","511.86","511.86","317.16","194.70","0.0","0.0","0.0","2014-08-28","255.93","2014-09-25","2014-08-21","679","675","28750","10","","2","0","0","0","1","","10","0","13","32550","25914","2591","4","2","2","96.4","0","0","0","22","152","2","208","18","3800","2","4","0","1"
"20047278","22310007","3850","3850","3850"," 36 months"," 16.99%","137.25","D","D3","VIP coordinator","2 years","RENT","28000","Not Verified","2014-06-20","2014-07-04","2014-06-21","2014-06-30","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=20047278","","debt_consolidation","Debt consolidation","Carlsbad","CA","0","4","1388","25","65.3","16.25","0","0","2007-12-20 04:00","705","709","1","","","2","","9","0","8","0","9603","2612","50.2%","4000","9","w","3598.25","3598.25","411.75","411.75","251.75","160.00","0.0","0.0","0.0","2014-09-19","137.25","2014-10-16","2014-08-21","709","705","10120","7","","0","0","0","0","0","","8","3","7","15320","9603","1200","5","1","4","100","0","0","0","2","15","1","78","7","5200","1","6","54","1"
"20167173","22429914","32225","32225","32225"," 60 months"," 22.15%","892.77","E","E5","Sr. Project Manager ","9 years","RENT","77000","Verified","2014-06-20","2014-07-04","2014-06-20","2014-06-24","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=20167173","","debt_consolidation","Debt consolidation","MIDLOTHIAN","VA","0","4","4318","71.4","81.5","26.48","0","0","2000-03-19 04:00","670","674","2","","","6","","9","0","17","0","54468","26310","72.3%","23300","30","w","31623.60","31623.60","1785.54","1785.54","601.40","1184.14","0.0","0.0","0.0","2014-08-28","892.77","2014-09-24","2014-08-21","774","770","40558","21","","0","0","0","0","0","","17","1","9","76958","54468","3204","13","7","7","100","0","0","0","9","134","13","171","9","36400","13","13","0","1"
"20107159","22369906","10000","10000","10000"," 36 months"," 16.29%","353.01","D","D2","Administrative Assistant","< 1 year","MORTGAGE","60000","Not Verified","2014-06-20","2014-07-04","2014-06-20","2014-06-24","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=20107159","","car","Car financing","Louisville","KY","0","10","26154","0","7.6","9.2","1","0","2002-10-19 05:00","735","739","3","19","106","1","63","1","3","15","1","14866","2741","8.5%","28300","26","w","9562.53","9562.53","706.02","706.02","437.47","268.55","0.0","0.0","0.0","2014-08-28","353.01","2014-09-24","2014-08-21","744","740","13805","16","","1","2","0","0","0","45","14","4","1","220390","162891","12530","8","3","5","84.6","0","0","0","7","129","4","132","1","32300","4","11","0","1"
